Name,Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,AS
Klay Thompson,2011-12,21,GSW,NBA,SG,66,29,24.4,4.8,10.9,.443,1.7,4.1,.414,3.1,6.8,.460,.520,1.2,1.4,.868,0.4,2.1,2.4,2.0,0.7,0.3,1.6,2.3,12.5,True
Tristan Thompson,2011-12,20,CLE,NBA,PF,60,25,23.7,3.2,7.4,.439,0.0,0.0,.000,3.2,7.3,.441,.439,1.8,3.2,.552,3.1,3.4,6.5,0.5,0.5,1.0,1.4,2.2,8.2,False
Al Thornton,2007-08,24,LAC,NBA,PF,79,31,27.3,4.7,11.0,.429,0.5,1.6,.331,4.2,9.4,.447,.454,2.7,3.6,.743,1.2,3.3,4.5,1.2,0.6,0.5,1.6,2.5,12.7,False
Marcus Thornton,2009-10,22,NOH,NBA,SG,73,17,25.6,5.5,12.1,.451,1.6,4.3,.374,3.8,7.8,.493,.517,2.0,2.4,.814,1.0,1.9,2.9,1.6,0.8,0.2,1.0,1.7,14.5,False
Jamaal Tinsley,2001-02,23,IND,NBA,PG,80,78,30.5,3.6,9.5,.380,0.5,2.2,.240,3.1,7.3,.422,.408,1.6,2.3,.704,1.0,2.8,3.7,8.1,1.7,0.5,3.4,3.1,9.4,False
Anthony Tolliver,2008-09,23,SAS,NBA,PF,19,0,10.9,1.0,3.4,.292,0.5,2.2,.220,0.5,1.3,.417,.362,0.3,0.5,.500,0.6,1.5,2.2,0.9,0.3,0.1,0.4,0.8,2.7,False
Andy Toolson,1990-91,25,UTA,NBA,SF,47,15,10.0,1.1,2.6,.403,0.3,0.7,.375,0.8,2.0,.413,.452,0.5,0.7,.758,0.7,0.7,1.4,0.7,0.3,0.0,0.5,1.2,2.9,False
Keith Tower,1993-94,23,ORL,NBA,C,11,0,2.9,0.4,0.8,.444,0.0,0.0,,0.4,0.8,.444,.444,0.0,0.0,,0.0,0.5,0.5,0.1,0.0,0.0,0.0,0.5,0.7,False
Karl-Anthony Towns,2015-16,20,MIN,NBA,C,82,82,32.0,7.6,14.1,.542,0.4,1.1,.341,7.3,13.0,.559,.555,2.7,3.4,.811,2.8,7.7,10.5,2.0,0.7,1.7,2.2,3.0,18.3,True
Robert Traylor,1998-99,21,MIL,NBA,C,49,43,16.0,2.2,4.1,.537,0.0,0.0,.000,2.2,4.1,.540,.537,0.9,1.6,.538,1.6,2.1,3.7,0.8,0.9,0.9,0.9,2.9,5.3,False
Gary Trent,1995-96,21,POR,NBA,PF,69,10,17.7,3.2,6.2,.513,0.0,0.1,.000,3.2,6.1,.524,.513,1.1,2.0,.553,1.2,2.2,3.4,0.7,0.4,0.2,1.3,1.7,7.5,False
Jake Tsakalidis,2000-01,21,PHO,NBA,C,57,39,16.6,1.8,3.8,.470,0.0,0.0,,1.8,3.8,.470,.470,0.9,1.6,.593,1.5,2.8,4.2,0.3,0.2,1.0,1.2,2.4,4.5,False
Nikoloz Tskitishvili,2002-03,19,DEN,NBA,SF,81,16,16.3,1.4,4.9,.293,0.5,1.9,.243,1.0,3.0,.324,.340,0.6,0.8,.738,0.8,1.4,2.2,1.1,0.4,0.4,1.0,1.7,3.9,False
P.J. Tucker,2006-07,21,TOR,NBA,SF,17,0,4.9,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.5,0.8,.571,0.6,0.7,1.4,0.2,0.1,0.0,0.4,0.7,1.8,False
Ronny Turiaf,2005-06,23,LAL,NBA,C,23,1,7.0,0.7,1.3,.500,0.0,0.0,,0.7,1.3,.500,.500,0.7,1.2,.556,0.5,1.1,1.6,0.3,0.1,0.4,0.3,1.3,2.0,False
Hedo Türkoğlu,2000-01,21,SAC,NBA,SF,74,7,16.8,1.9,4.5,.412,0.4,1.2,.326,1.5,3.4,.442,.454,1.2,1.5,.777,0.7,2.2,2.8,0.9,0.7,0.3,0.7,1.9,5.3,False
Evan Turner,2010-11,22,PHI,NBA,SG,78,14,23.0,2.9,6.8,.425,0.2,0.6,.318,2.7,6.2,.435,.439,1.3,1.6,.808,0.5,3.4,3.9,2.0,0.6,0.2,1.0,1.8,7.2,False
Henry Turner,1989-90,23,SAC,NBA,PF,36,1,8.8,1.6,3.4,.475,0.0,0.1,.000,1.6,3.3,.487,.475,1.1,1.8,.615,0.6,0.8,1.4,0.6,0.5,0.2,0.7,1.1,4.3,False
Myles Turner,2015-16,19,IND,NBA,C,60,30,22.8,4.4,8.8,.498,0.1,0.2,.214,4.4,8.6,.506,.501,1.5,2.0,.727,1.1,4.4,5.5,0.7,0.4,1.4,1.1,2.6,10.3,False
Ekpe Udoh,2010-11,23,GSW,NBA,C,58,18,17.8,1.7,3.8,.437,0.0,0.0,,1.7,3.8,.437,.437,0.7,1.1,.656,1.4,1.7,3.1,0.7,0.4,1.5,0.8,2.5,4.1,False
Ime Udoka,2003-04,26,LAL,NBA,SF,4,0,7.0,0.8,2.3,.333,0.0,0.3,.000,0.8,2.0,.375,.333,0.5,1.0,.500,0.3,1.0,1.3,0.5,0.5,0.3,0.8,0.8,2.0,False
Beno Udrih,2004-05,22,SAS,NBA,PG,80,2,14.4,2.2,4.9,.444,0.7,1.8,.408,1.4,3.1,.464,.518,0.8,1.1,.753,0.2,0.8,1.0,1.9,0.5,0.1,1.0,1.2,5.9,False
Jarrod Uthoff,2016-17,23,DAL,NBA,PF,9,0,12.8,1.8,4.2,.421,0.3,1.0,.333,1.4,3.2,.448,.461,0.6,0.8,.714,0.9,1.6,2.4,1.0,0.2,0.4,0.3,0.9,4.4,False
Jonas Valančiūnas,2012-13,20,TOR,NBA,C,62,57,23.9,3.3,5.9,.557,0.0,0.0,,3.3,5.9,.557,.557,2.4,3.0,.789,2.0,4.0,6.0,0.7,0.3,1.3,1.5,3.0,8.9,False
Denzel Valentine,2016-17,23,CHI,NBA,SG,57,0,17.1,1.8,5.1,.354,1.3,3.6,.351,0.5,1.4,.363,.481,0.2,0.3,.778,0.2,2.5,2.6,1.1,0.5,0.1,0.9,1.5,5.1,False
Nick Van Exel,1993-94,22,LAL,NBA,PG,81,80,33.3,5.1,13.0,.394,1.5,4.5,.338,3.6,8.5,.423,.452,1.9,2.4,.781,0.6,2.4,2.9,5.8,1.0,0.1,1.8,1.9,13.6,True
Keith Van Horn,1997-98,22,NJN,NBA,PF,62,62,37.5,7.2,16.9,.426,1.1,3.6,.308,6.1,13.3,.458,.459,4.2,4.9,.846,2.3,4.3,6.6,1.7,1.0,0.4,2.6,3.5,19.7,False
Fred VanVleet,2016-17,22,TOR,NBA,PG,37,0,7.9,1.1,3.0,.351,0.3,0.8,.379,0.8,2.2,.341,.401,0.5,0.6,.818,0.1,1.0,1.1,0.9,0.4,0.1,0.4,1.0,2.9,False
Anderson Varejão,2004-05,22,CLE,NBA,PF,54,0,16.0,1.8,3.6,.513,0.0,0.0,.000,1.8,3.5,.518,.513,1.3,2.4,.535,2.0,2.7,4.8,0.5,0.8,0.7,0.5,2.3,4.9,False
Greivis Vásquez,2010-11,24,MEM,NBA,SG,70,1,12.3,1.4,3.3,.408,0.4,1.2,.291,1.0,2.1,.476,.461,0.5,0.6,.773,0.2,0.9,1.0,2.2,0.3,0.1,1.0,1.2,3.6,False
David Vaughn,1995-96,22,ORL,NBA,PF,33,0,8.1,0.8,2.4,.338,0.0,0.0,.000,0.8,2.4,.342,.338,0.3,0.5,.556,1.0,1.4,2.4,0.2,0.2,0.5,0.5,2.1,1.9,False
Jacque Vaughn,1997-98,22,UTA,NBA,PG,45,0,9.3,1.0,2.7,.361,0.1,0.2,.375,0.9,2.5,.360,.373,1.1,1.5,.706,0.1,0.8,0.8,1.9,0.2,0.0,1.2,1.4,3.1,False
Loy Vaught,1990-91,22,LAC,NBA,PF,73,0,16.1,2.4,4.9,.487,0.0,0.0,.000,2.4,4.9,.490,.487,0.7,1.0,.662,1.7,3.1,4.8,0.5,0.3,0.3,0.7,1.8,5.5,False
Charlie Villanueva,2005-06,21,TOR,NBA,PF,81,36,29.1,5.4,11.6,.463,0.9,2.6,.327,4.5,9.0,.503,.500,1.4,2.0,.706,2.2,4.2,6.4,1.1,0.7,0.8,1.2,3.0,13.0,False
Fred Vinson,1994-95,24,ATL,NBA,SG,5,0,5.4,0.2,1.4,.143,0.2,1.2,.167,0.0,0.2,.000,.214,0.2,0.2,1.000,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.8,0.8,False
Noah Vonleh,2014-15,19,CHO,NBA,PF,25,0,10.4,1.2,3.0,.395,0.2,0.5,.385,1.0,2.5,.397,.428,0.7,1.0,.692,1.1,2.3,3.4,0.2,0.2,0.4,0.4,0.8,3.3,False
Jake Voskuhl,2000-01,23,CHI,NBA,C,16,2,8.9,0.7,1.6,.440,0.0,0.0,,0.7,1.6,.440,.440,0.5,0.9,.571,0.8,1.4,2.1,0.3,0.3,0.4,0.8,2.4,1.9,False
Stojko Vranković,1990-91,27,BOS,NBA,C,31,0,5.4,0.8,1.7,.462,0.0,0.0,,0.8,1.7,.462,.462,0.3,0.6,.556,0.5,1.2,1.6,0.1,0.0,0.9,0.8,1.4,1.9,False
Nikola Vučević,2011-12,21,PHI,NBA,C,51,15,15.9,2.6,5.7,.450,0.1,0.2,.375,2.5,5.5,.452,.455,0.4,0.7,.529,1.7,3.1,4.8,0.6,0.4,0.7,0.6,2.2,5.5,True
Sasha Vujačić,2004-05,20,LAL,NBA,SG,35,3,11.5,0.9,3.3,.282,0.5,1.8,.270,0.5,1.5,.296,.355,0.5,0.5,.947,0.4,1.4,1.8,1.5,0.3,0.1,0.4,1.2,2.9,False
Dwyane Wade,2003-04,22,MIA,NBA,PG,61,56,34.9,6.1,13.1,.465,0.3,0.9,.302,5.8,12.2,.477,.475,3.8,5.1,.747,1.4,2.7,4.0,4.5,1.4,0.6,3.2,2.3,16.2,True
Von Wafer,2005-06,20,LAL,NBA,SG,16,0,4.6,0.4,2.4,.158,0.1,1.1,.118,0.3,1.3,.190,.184,0.4,0.5,.750,0.3,0.2,0.5,0.3,0.2,0.0,0.1,0.8,1.3,False
Dajuan Wagner,2002-03,19,CLE,NBA,SG,47,24,29.5,4.7,12.9,.369,1.2,3.7,.316,3.6,9.2,.390,.414,2.7,3.4,.800,0.4,1.3,1.7,2.8,0.8,0.1,1.8,2.3,13.4,False
Dion Waiters,2012-13,21,CLE,NBA,SG,61,48,28.8,5.5,13.4,.412,1.0,3.3,.310,4.5,10.0,.446,.451,2.6,3.5,.746,0.4,2.1,2.4,3.0,1.0,0.3,2.0,1.9,14.7,False
Antoine Walker,1996-97,20,BOS,NBA,PF,82,68,36.2,7.0,16.5,.425,0.6,1.9,.327,6.4,14.6,.438,.445,2.8,4.5,.631,3.5,5.5,9.0,3.2,1.3,0.6,2.8,3.3,17.5,True
Henry Walker,2008-09,21,BOS,NBA,SF,29,0,7.4,1.2,2.0,.621,0.0,0.0,.000,1.2,2.0,.632,.621,0.6,0.8,.696,0.3,0.7,1.0,0.4,0.2,0.1,0.6,1.8,3.0,False
Kemba Walker,2011-12,21,CHA,NBA,PG,66,25,27.2,4.3,11.6,.366,1.0,3.4,.305,3.2,8.2,.392,.411,2.5,3.2,.789,0.5,3.1,3.5,4.4,0.9,0.3,1.8,1.2,12.1,True
Samaki Walker,1996-97,20,DAL,NBA,PF,43,12,14.0,1.9,4.3,.444,0.0,0.0,.000,1.9,4.3,.446,.444,1.1,1.7,.649,1.1,2.3,3.4,0.4,0.3,0.5,0.9,1.7,5.0,False
John Wall,2010-11,20,WAS,NBA,PG,69,64,37.8,5.8,14.1,.409,0.5,1.7,.296,5.3,12.4,.425,.427,4.4,5.7,.766,0.5,4.1,4.6,8.3,1.8,0.5,3.8,2.5,16.4,True
Ben Wallace,1996-97,22,WSB,NBA,PF,34,0,5.8,0.5,1.4,.348,0.0,0.0,,0.5,1.4,.348,.348,0.2,0.6,.300,0.7,1.0,1.7,0.1,0.2,0.3,0.5,0.8,1.1,True
